op_name,dtype,N,time_ms,flops,bytes
swiglu,float16,16384,0.036661,81920,98304
rope,float16,16384,0.181127,98304,131072
residual_add,float16,8192,0.025470,8192,49152
rmsnorm,float16,8192,0.033388,32768,65536
softmax,float16,8192,0.023974,40960,98304
swiglu,float16,8192,0.037181,40960,49152
rope,float16,8192,0.181895,49152,65536
residual_add,float16,4096,0.025126,4096,24576
rmsnorm,float16,4096,0.033251,16384,32768
softmax,float16,4096,0.023747,20480,49152
swiglu,float16,4096,0.038029,20480,24576
rope,float16,4096,0.181553,24576,32768
residual_add,float16,2048,0.025354,2048,12288
rmsnorm,float16,2048,0.032991,8192,16384
softmax,float16,2048,0.024013,10240,24576
swiglu,float16,2048,0.036633,10240,12288
rope,float16,2048,0.181678,12288,16384
residual_add,float16,1024,0.025137,1024,6144
rmsnorm,float16,1024,0.034204,4096,8192
softmax,float16,1024,0.024291,5120,12288
swiglu,float16,1024,0.036679,5120,6144
rope,float16,1024,0.182414,6144,8192
residual_add,bfloat16,268435456,2.341205,268435456,1610612736
rmsnorm,bfloat16,268435456,480.373555,1073741824,2147483648
softmax,bfloat16,268435456,59.917800,1342177280,3221225472
swiglu,bfloat16,268435456,3.905609,1342177280,1610612736
rope,bfloat16,268435456,9.650413,1610612736,2147483648
residual_add,bfloat16,134217728,1.181975,134217728,805306368
rmsnorm,bfloat16,134217728,241.950922,536870912,1073741824
softmax,bfloat16,134217728,30.182682,671088640,1610612736
swiglu,bfloat16,134217728,1.964825,671088640,805306368
rope,bfloat16,134217728,4.856866,805306368,1073741824
residual_add,bfloat16,67108864,0.597618,67108864,402653184
rmsnorm,bfloat16,67108864,121.028311,268435456,536870912
softmax,bfloat16,67108864,15.110567,335544320,805306368
swiglu,bfloat16,67108864,0.991355,335544320,402653184
rope,bfloat16,67108864,2.472683,402653184,536870912
residual_add,bfloat16,33554432,0.305848,33554432,201326592
rmsnorm,bfloat16,33554432,60.604584,134217728,268435456
softmax,bfloat16,33554432,7.620693,167772160,402653184
swiglu,bfloat16,33554432,0.505649,167772160,201326592
rope,bfloat16,33554432,1.262750,201326592,268435456
residual_add,bfloat16,16777216,0.160055,16777216,100663296
rmsnorm,bfloat16,16777216,20.084197,67108864,134217728
softmax,bfloat16,16777216,3.828801,83886080,201326592
swiglu,bfloat16,16777216,0.261352,83886080,100663296
rope,bfloat16,16777216,0.662333,100663296,134217728
residual_add,bfloat16,8388608,0.087334,8388608,50331648
rmsnorm,bfloat16,8388608,10.002229,33554432,67108864
softmax,bfloat16,8388608,1.933184,41943040,100663296
swiglu,bfloat16,8388608,0.140152,41943040,50331648
rope,bfloat16,8388608,0.359526,50331648,67108864
residual_add,bfloat16,4194304,0.049397,4194304,25165824
rmsnorm,bfloat16,4194304,5.018466,16777216,33554432
softmax,bfloat16,4194304,0.979940,20971520,50331648
swiglu,bfloat16,4194304,0.076501,20971520,25165824
rope,bfloat16,4194304,0.203531,25165824,33554432
residual_add,bfloat16,2097152,0.030930,2097152,12582912
rmsnorm,bfloat16,2097152,2.455365,8388608,16777216
softmax,bfloat16,2097152,0.471252,10485760,25165824
swiglu,bfloat16,2097152,0.044170,10485760,12582912
rope,bfloat16,2097152,0.182290,12582912,16777216
residual_add,bfloat16,1048576,0.025674,1048576,6291456
rmsnorm,bfloat16,1048576,1.046457,4194304,8388608
softmax,bfloat16,1048576,0.228170,5242880,12582912
swiglu,bfloat16,1048576,0.037909,5242880,6291456
rope,bfloat16,1048576,0.182751,6291456,8388608
residual_add,bfloat16,524288,0.025298,524288,3145728
rmsnorm,bfloat16,524288,0.342406,2097152,4194304
softmax,bfloat16,524288,0.120019,2621440,6291456
swiglu,bfloat16,524288,0.036841,2621440,3145728
rope,bfloat16,524288,0.186354,3145728,4194304
residual_add,bfloat16,262144,0.025269,262144,1572864
rmsnorm,bfloat16,262144,0.181339,1048576,2097152
softmax,bfloat16,262144,0.066393,1310720,3145728
swiglu,bfloat16,262144,0.036774,1310720,1572864
rope,bfloat16,262144,0.183555,1572864,2097152
residual_add,bfloat16,131072,0.025114,131072,786432
rmsnorm,bfloat16,131072,0.102609,524288,1048576
softmax,bfloat16,131072,0.040414,655360,1572864
swiglu,bfloat16,131072,0.036883,655360,786432
rope,bfloat16,131072,0.182516,786432,1048576
residual_add,bfloat16,65536,0.025126,65536,393216
rmsnorm,bfloat16,65536,0.059452,262144,524288
softmax,bfloat16,65536,0.027126,327680,786432
swiglu,bfloat16,65536,0.036843,327680,393216
rope,bfloat16,65536,0.181723,393216,524288
residual_add,bfloat16,32768,0.025110,32768,196608
rmsnorm,bfloat16,32768,0.039089,131072,262144
softmax,bfloat16,32768,0.024014,163840,393216
swiglu,bfloat16,32768,0.037424,163840,196608
rope,bfloat16,32768,0.183674,196608,262144
residual_add,bfloat16,16384,0.025285,16384,98304
rmsnorm,bfloat16,16384,0.033676,65536,131072
softmax,bfloat16,16384,0.024410,81920,196608
swiglu,bfloat16,16384,0.037236,81920,98304
rope,bfloat16,16384,0.181387,98304,131072
residual_add,bfloat16,8192,0.025090,8192,49152
rmsnorm,bfloat16,8192,0.032919,32768,65536
softmax,bfloat16,8192,0.024034,40960,98304
swiglu,bfloat16,8192,0.037303,40960,49152
rope,bfloat16,8192,0.182600,49152,65536
residual_add,bfloat16,4096,0.025658,4096,24576
rmsnorm,bfloat16,4096,0.033609,16384,32768
softmax,bfloat16,4096,0.023750,20480,49152
swiglu,bfloat16,4096,0.037150,20480,24576
rope,bfloat16,4096,0.182221,24576,32768
residual_add,bfloat16,2048,0.025055,2048,12288
rmsnorm,bfloat16,2048,0.032914,8192,16384
softmax,bfloat16,2048,0.024246,10240,24576
swiglu,bfloat16,2048,0.037041,10240,12288
rope,bfloat16,2048,0.236563,12288,16384
residual_add,bfloat16,1024,0.025483,1024,6144
rmsnorm,bfloat16,1024,0.033123,4096,8192
softmax,bfloat16,1024,0.024241,5120,12288
swiglu,bfloat16,1024,0.036688,5120,6144
rope,bfloat16,1024,0.181762,6144,8192
